id;view;wing;side;A_wing
EL75663;V;Post;d;735783.5
ACC0031;V;Post;g;735655.0
EL72490;V;Ant;d;735507.0
EL75691;D;Ant;d;735336.0
EL75595;D;Post;d;735279.5
EL43174;D;Ant;d;734044.0
EL72612;V;Post;g;733978.5
EL75348;D;Ant;g;733816.5
EL75693;V;Ant;d;733791.0
EL75666;V;Ant;d;733782.0
EL72687;V;Ant;d;733129.0
EL72497;D;Ant;g;733011.0
EL43132;V;Ant;g;732915.0
EL72466;V;Ant;g;732810.5
ACC0023;D;Post;g;732268.5
EL72567;D;Post;g;731779.0
EL72703;V;Ant;g;731758.5
ACC0377;D;Ant;g;731564.5
ACC0185;D;Ant;d;730709.0
EL43187;D;Post;g;730483.5
ACC0336;D;Ant;g;729961.5
EL72715;V;Ant;d;729424.5
EL72480;V;Post;g;729198.5
EL72480;D;Post;g;729147.5
EL75308;V;Ant;d;729111.5
ACC0023;V;Post;g;729062.5
EL75384;D;Ant;g;728985.0
EL75529;V;Post;d;728748.5
EL72688;V;Post;g;728747.0
EL72643;D;Ant;g;728711.5
EL75663;D;Post;d;727851.0
EL72607;D;Ant;d;727504.5
EL72688;D;Post;g;727153.0
EL75569;D;Ant;g;726930.0
EL72633;D;Ant;d;726914.0
EL72524;V;Ant;d;726907.5
EL72567;V;Post;g;726621.0
EL75694;D;Ant;d;726312.5
EL72467;V;Ant;g;726060.0
EL72629;D;Ant;d;725772.0
EL75665;D;Ant;d;725748.5
EL75529;D;Post;d;725676.5
EL43204;D;Ant;g;725512.5
EL72713;D;Ant;g;725426.0
EL72604;D;Post;g;725337.0
EL72464;D;Post;d;725316.5
EL72604;V;Post;g;725018.5
ACC0401;D;Ant;g;724795.5
EL75596;D;Post;d;724650.0
ACC0004;D;Ant;d;724511.5
EL72428;D;Ant;d;724356.5
EL72592;D;Post;d;724187.5
EL72464;V;Post;d;723770.5
EL72674;V;Ant;d;723519.5
EL72438;D;Post;g;722699.0
ACC0076;D;Post;d;721599.5
EL72592;V;Post;d;721371.0
EL72438;V;Post;g;720034.0
EL72587;V;Ant;d;719895.5
EL43233;V;Ant;g;718418.5
EL72736;D;Ant;g;718316.0
EL75578;V;Post;g;717833.5
EL75564;D;Ant;d;717595.5
EL72494;D;Ant;d;717514.5
EL43194;D;Post;d;717351.0
