id;view;wing;side;x;y;minor_axis;major_axis;distance_contours;distance_CU2;A_wing
ACC0022;V;Post;g;249.9778748;344.5140686;10.44464684;12.52212906;11.8697325;350.8783848;22311
ACC0023;D;Post;g;374.2703857;322.3733826;5.304572105;11.5701561;37.17362036;276.0035922;22772
ACC0027;D;Post;g;267.3993225;336.3059998;12.12369442;15.83563805;16.72923827;328.7017623;26762
ACC0027;D;Post;g;317.5906982;278.4076538;7.741051197;12.81081009;8.407653809;255.2065737;26762
ACC0027;V;Post;g;267.0236511;339.7180481;12.68122196;16.58192062;15.14459854;331.9251025;26724
ACC0027;V;Post;g;315.4593506;284.1263428;9.770130157;12.43180847;8.126342773;261.3066875;26724
ACC0030;D;Post;g;354.4639282;352.6826782;10.82344437;22.30929565;50.85897422;280.5972389;20119
ACC0030;D;Post;g;338.2735901;339.5682983;10.2715435;17.4548912;48.71839533;269.660306;20119
ACC0030;V;Post;g;398.5389099;373.8618469;6.261713505;11.30924988;6.298532343;300.9633316;20017
ACC0030;V;Post;g;345.8134766;344.1442566;8.678545952;19.23950005;55.3735489;273.092788;20017
ACC0031;V;Post;g;313.7625122;338.0899963;8.353317261;18.52303123;33.12972651;307.1325886;22861
